	t-SNE (p=5)	t-SNE (p=15)	t-SNE (p=30)	t-SNE (p=50)	MDS Local (k=5, tau=0.3)	MDS Local (k=5, tau=0.5)	MDS Local (k=5, tau=0.7)	MDS Local (k=15, tau=0.3)	MDS Local (k=15, tau=0.5)	MDS Local (k=15, tau=0.7)	MDS Local (k=30, tau=0.3)	MDS Local (k=30, tau=0.5)	MDS Local (k=30, tau=0.7)	Sammon	MDS Clásico
t-SNE (p=5)	0	0.986	0.978	0.973	0.96	0.96	0.957	0.964	0.969	0.963	0.966	0.968	0.976	0.981	0.97
t-SNE (p=15)	0.986	0	0.975	0.906	0.888	0.882	0.876	0.963	0.964	0.964	0.988	0.983	0.982	0.987	0.984
t-SNE (p=30)	0.978	0.975	0	0.823	0.906	0.886	0.89	0.949	0.933	0.903	0.937	0.924	0.927	0.957	0.956
t-SNE (p=50)	0.973	0.906	0.823	0	0.786	0.808	0.805	0.876	0.85	0.808	0.869	0.873	0.88	0.896	0.87
MDS Local (k=5, tau=0.3)	0.96	0.888	0.906	0.786	0	0.124	0.131	0.665	0.642	0.63	0.782	0.781	0.8	0.822	0.771
MDS Local (k=5, tau=0.5)	0.96	0.882	0.886	0.808	0.124	0	0.008	0.729	0.709	0.691	0.84	0.832	0.844	0.859	0.818
MDS Local (k=5, tau=0.7)	0.957	0.876	0.89	0.805	0.131	0.008	0	0.736	0.716	0.699	0.848	0.84	0.85	0.867	0.828
MDS Local (k=15, tau=0.3)	0.964	0.963	0.949	0.876	0.665	0.729	0.736	0	0.07	0.192	0.459	0.461	0.52	0.478	0.371
MDS Local (k=15, tau=0.5)	0.969	0.964	0.933	0.85	0.642	0.709	0.716	0.07	0	0.151	0.457	0.481	0.538	0.496	0.388
MDS Local (k=15, tau=0.7)	0.963	0.964	0.903	0.808	0.63	0.691	0.699	0.192	0.151	0	0.484	0.466	0.549	0.538	0.445
MDS Local (k=30, tau=0.3)	0.966	0.988	0.937	0.869	0.782	0.84	0.848	0.459	0.457	0.484	0	0.125	0.238	0.429	0.358
MDS Local (k=30, tau=0.5)	0.968	0.983	0.924	0.873	0.781	0.832	0.84	0.461	0.481	0.466	0.125	0	0.119	0.449	0.381
MDS Local (k=30, tau=0.7)	0.976	0.982	0.927	0.88	0.8	0.844	0.85	0.52	0.538	0.549	0.238	0.119	0	0.527	0.452
Sammon	0.981	0.987	0.957	0.896	0.822	0.859	0.867	0.478	0.496	0.538	0.429	0.449	0.527	0	0.198
MDS Clásico	0.97	0.984	0.956	0.87	0.771	0.818	0.828	0.371	0.388	0.445	0.358	0.381	0.452	0.198	0
